LIMIT,SEX,EDUCATION,MARRIAGE,AGE,STATUS_JAN,STATUS_FEB,STATUS_MAR,STATUS_APR,STATUS_MAY,STATUS_JUN,BILL_JAN,BILL_FEB,BILL_MAR,BILL_APR,BILL_MAY,BILL_JUN,PAY_JAN,PAY_FEB,PAY_MAR,PAY_APR,PAY_MAY,PAY_JUN,DEFAULTED
7700,1,2,2,29,2,2,2,2,2,2,1398.408,1421.904,1444.416,1406.928,1495.368,1524.624,60,60,0,115.2,57.6,38.4,1
700,2,2,2,22,0,0,0,0,0,0,681.288,710.688,727.824,672.096,634.704,153.864,40.464,33.6,13.44,72,42.36,0,1
5800,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
1400,1,3,2,30,0,0,0,0,0,0,631.776,659.304,674.592,527.832,477.576,474.504,37.824,29.112,15.552,18.432,27.36,0,1
8600,2,1,1,45,-1,-1,2,0,-1,-1,9.36,28.08,18.72,9.36,9.36,9.36,28.08,0,0,9.36,9.36,9.36,1
4800,1,1,1,53,2,2,2,2,2,2,3316.32,3378.576,3419.04,3458.352,3530.976,3588.744,151.2,132,132,132,120,120,1
500,1,2,1,38,0,0,0,0,0,-1,431.352,464.808,469.416,437.76,430.272,3.6,40.776,35.04,15.024,42,3.6,0,1
1200,2,3,2,22,0,0,0,0,0,0,1072.752,1014.096,920.328,779.904,563.448,578.256,42.408,32.688,24.048,20.16,23.88,21.696,1
700,1,1,2,24,-1,2,0,0,3,2,436.776,422.832,447.144,511.656,496.608,508.824,0,31.488,72,0,24,24,1
1900,1,2,2,26,2,0,0,0,0,0,336.696,371.832,399.12,409.32,423.096,436.464,48,40.8,24,24,24,24,1
1200,1,3,2,37,2,2,2,3,2,2,1104.096,1103.424,1174.872,1172.424,1183.632,1227.432,24,96.84,24,33.6,67.2,0,1
10800,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
7400,2,2,1,35,2,0,0,0,0,0,7319.784,7469.832,7351.536,6206.64,5915.784,4773.336,312.456,267.072,201.768,206.376,163.992,143.688,1
4300,1,1,1,36,0,0,0,0,0,0,3929.664,2794.128,2382.672,2298.384,2346.072,2302.248,111.72,64.56,49.608,51.408,53.208,24,1
1200,1,2,1,51,0,0,0,0,0,0,80.328,93.576,108.072,128.328,153,169.848,24,25.584,31.2,36,28.8,3.216,1
1200,2,3,1,51,-1,-1,-1,-1,-2,-2,18.048,7.2,141.12,0,0,0,7.2,141.12,0,0,0,0,1
5800,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
4100,2,2,2,27,0,0,0,0,0,0,462.456,487.512,500.448,421.44,430.032,218.4,39.864,28.8,8.424,8.592,4.368,0,1
5000,1,3,1,45,2,3,4,4,5,6,2778.84,2949.696,3116.328,3294.648,3492.792,3698.52,251.472,251.472,265.872,265.872,280.272,251.472,1
1200,2,1,2,24,1,-2,-2,-2,-2,-2,-17.016,-17.016,-17.016,-69.552,-78.528,-78.528,0,0,0,0,0,0,1
3100,1,3,1,56,1,2,2,2,2,3,1550.808,1583.472,1614.768,1645.368,1747.104,1712.28,72,72,72,132,0,0,1
1400,2,2,1,24,0,0,0,0,0,0,1392.576,1389.384,1172.136,455.304,463.752,465.48,60,38.4,72,24,17.688,48,1
2400,2,2,1,38,1,2,0,0,2,0,347.592,335.064,367.752,390.432,380.832,394.752,0,38.4,36,0,24,36,1
4800,2,3,2,47,2,2,2,2,2,2,4786.464,4870.728,4654.464,4708.464,4803.888,4557.96,197.136,168,163.2,171.216,0,164.064,1
1400,2,1,2,27,2,0,0,0,2,0,471,488.328,520.056,552.12,539.976,548.952,32.208,39.936,48,0,21.6,20.304,1
1200,2,1,2,24,1,2,2,2,2,2,867.984,892.512,904.32,923.088,941.472,960.84,45.6,33.6,40.8,36.768,38.4,0,1
700,2,3,2,22,1,2,2,0,0,0,696.24,702.144,674.928,716.064,39.12,0,24,2.04,41.136,2.496,0,0,1
5000,2,2,1,41,-1,-1,-1,-1,-1,-1,74.112,38.064,8.232,90.312,21.048,0,38.064,8.232,90.312,21.048,0,10.056,1
1900,2,2,2,24,0,0,0,0,0,0,1959,1957.296,1910.376,1189.248,1188.216,1189.632,76.8,72,48.912,48,43.2,43.2,1
5000,2,1,1,38,1,-2,-1,0,-1,-1,0,0,6,2.952,18.936,29.328,0,6,0,18.936,29.328,230.784,1
5800,2,2,1,36,1,-2,-2,-2,-2,-2,-22.704,-22.704,-22.704,-22.704,-22.704,-22.704,0,0,0,0,0,0,1
8600,2,1,1,40,2,2,2,0,0,0,2524.008,2771.232,2691.768,2752.56,2828.28,2885.712,288,0,141.6,120,108,112.8,1
1200,2,3,2,37,1,3,2,0,0,0,1263.024,1236.888,1180.92,729.456,725.976,718.968,0,0.576,36,24,28.824,734.208,1
1200,1,2,2,23,2,0,0,0,0,0,1194.192,1162.944,1058.784,509.928,481.584,452.592,57.624,54.096,48.096,16.896,16.968,24.096,1
500,1,2,2,23,1,2,0,0,2,0,485.64,411.168,404.544,405,322.896,242.496,0,28.8,24,0,24,240,1
4600,1,2,2,34,2,0,0,0,2,2,3115.224,3153.192,3225.096,3415.752,3362.88,3601.248,120,120,240,0,290.832,66.456,1
5800,2,3,1,50,0,0,0,0,0,0,5620.92,5560.056,5151.408,4983.408,5049,5152.656,242.784,219.6,192.192,192,192.216,185.136,1
3400,2,2,3,41,0,0,0,0,0,0,464.304,520.992,550.56,457.632,393.816,393.192,72,48,52.752,24,72,57.576,1
3400,2,2,2,26,0,0,0,0,0,0,2437.224,2525.904,2514.744,2528.016,2584.776,2563.872,128.784,122.088,86.52,93.456,90.84,79.296,1
5300,1,1,1,48,2,0,0,0,0,0,5049.12,5124.528,4844.448,4058.76,4132.056,3897.648,240,216.48,144,132,144,132,1
3100,2,3,2,49,0,0,0,0,0,0,2136.072,2192.688,1732.728,1191.696,673.56,660,98.4,74.28,39.12,13.464,14.4,0,1
1200,1,2,2,27,3,2,2,0,0,-1,328.656,357.12,341.808,335.232,343.656,62.736,40.8,0,10.224,12.024,62.736,33.36,1
6200,2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
8600,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
11000,1,1,1,40,2,-1,-1,-1,-1,-1,4.104,65.16,-0.312,63.384,-0.24,540.84,65.472,0,63.696,0,541.08,0,1
2400,2,2,2,25,2,0,0,0,0,0,1701.504,1720.272,1683,1676.544,1673.232,1232.76,83.328,50.208,48,51.048,47.04,37.416,1
6700,1,1,2,33,-1,-1,-1,-1,-1,-1,21.552,21.552,7.8,21.552,7.8,-8150.472,21.552,7.8,21.552,7.8,0,8287.032,1
1200,2,2,2,22,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
200,1,2,2,27,0,0,2,0,0,0,168.36,245.448,229.44,237.624,239.112,244.368,84.168,0,12,8.88,9.432,16.8,1
7200,1,1,2,34,1,-2,-1,0,-1,-1,0,0,312.024,302.424,470.28,4.872,0,312.024,0,470.28,4.872,0,1
500,2,1,2,25,0,0,2,0,0,0,287.232,349.536,667.68,379.776,378.264,300.24,67.2,0,96,40.8,24,48,1
700,1,3,1,55,2,2,2,3,3,4,233.28,254.712,272.136,308.184,332.064,348.336,28.8,28.8,48,36,36,36,1
4800,2,3,1,49,-1,2,2,2,0,0,1258.536,1224.96,1348.92,1313.352,1407.768,1439.592,0,144,0,120,54.864,72,1
1400,1,2,2,23,0,0,0,0,0,0,1188.168,798.768,823.488,414.648,427.392,464.304,47.28,48,14.832,19.416,48,14.784,1
2600,1,2,2,29,1,2,2,0,0,0,1400.688,1358.352,1245.792,1167.528,1148.688,1151.256,60,0,48,48,44.496,48,1
5500,2,2,1,28,0,0,0,-2,-1,-1,632.664,451.824,26.4,50.4,18.408,148.152,41.04,26.4,24,18.408,148.152,24,1
5300,2,2,1,41,-1,2,2,-1,2,-1,15.6,15.6,7.8,22.8,11.4,7.8,7.8,0,22.8,0,7.8,7.8,1
1400,2,2,1,34,2,2,2,2,2,0,597.552,671.424,653.592,724.416,709.584,725.4,91.2,0,89.28,0,31.2,30.984,1
4800,2,2,1,37,1,-1,2,-1,-1,-1,-4.296,12.12,4.536,162.552,557.016,405.432,24,0,165.6,576,408,60,1
3100,2,2,2,40,0,0,2,0,0,0,229.416,297.456,285.192,235.824,244.008,304.44,72,0,12,12,64.8,12,1
1200,2,2,1,31,0,0,0,0,0,0,1116.288,1145.184,1192.2,742.296,721.872,700.08,47.376,105.744,25.464,25.752,25.104,25.128,1
1200,2,2,2,29,0,0,0,0,0,0,1129.944,1183.584,1209.816,1093.08,959.112,987.48,72,48,48,48,48,48,1
700,2,2,2,26,0,0,0,0,0,0,429.432,456.288,482.952,485.328,499.104,476.256,33.864,36.528,14.904,19.08,17.16,24,1
9100,1,1,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
4300,1,2,1,45,-1,0,0,0,0,0,664.296,682.128,711.6,719.544,730.056,747.048,35.544,48,26.4,28.8,36,36,1
12000,2,2,2,23,4,3,2,0,0,0,12185.424,12221.496,11998.464,12132.168,11630.688,10071.432,240,0,336,396,384,456,1
2600,1,1,1,40,1,-2,-1,0,-1,-1,0,0,49.584,48,5.184,5.184,0,49.584,0,5.184,5.184,1.584,1
500,2,2,1,32,3,2,0,0,0,0,495.144,480.24,472.872,266.016,262.032,263.64,0,28.032,9.216,9.36,15.168,14.784,1
4300,1,2,1,36,2,2,-2,-2,-2,-2,2004.912,0,0,0,0,0,0,0,0,0,0,0,1
1200,1,2,2,31,0,0,0,0,0,0,492.624,363.096,362.232,229.848,267.336,299.688,48,72,7.848,72,72,120,1
1200,2,2,1,37,2,2,2,0,0,0,45.456,76.8,81.144,85.416,46.752,57.96,36,9.6,4.8,12,12,9.6,1
4100,2,2,2,28,-1,0,0,2,0,0,70.752,92.352,135.504,131.136,133.848,141.336,26.52,45.672,0,7.104,12,2.28,1
1900,1,3,1,73,-1,0,0,2,2,2,1515.456,1575.144,1653,1695.504,1748.88,1800.432,84,103.92,84,84,84,122.4,1
6200,1,1,1,30,-1,-1,-1,0,0,-1,27.144,6.984,13.968,6.984,0,6.984,6.984,13.968,0,0,3126.984,15.624,1
6700,2,2,1,39,1,-1,0,0,0,0,-31.488,862.032,895.128,891.696,781.944,799.584,926.904,48,27.12,22.128,24.264,120,1
3600,1,1,2,41,-1,-1,-1,-1,-1,2,35.136,50.016,9.216,0,56.256,19.728,50.184,9.216,0,56.256,0,11.328,1
3800,2,1,2,29,2,2,2,2,2,2,3850.368,3933.984,3832.224,4005.432,4082.352,3691.2,180,0,277.392,139.2,0,135.696,1
1400,2,1,2,23,1,2,2,2,2,2,703.968,685.848,739.32,758.424,776.376,791.16,0,65.016,38.4,33.6,31.2,28.8,1
5500,2,2,2,27,1,2,0,0,0,0,328.032,303.528,315.24,254.304,221.232,121.632,0,25.536,10.152,7.512,24,111.384,1
6200,2,1,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,1,2,1,38,2,2,2,0,0,0,2519.472,2542.176,2463.912,2330.16,2353.08,2526.072,108,0,84,84,216,0,1
500,2,3,2,49,2,2,2,2,0,0,229.224,289.944,314.088,301.992,367.848,393.936,72,36,0,74.952,36,24,1
4100,2,1,2,31,-1,-1,-1,-1,0,-1,4.776,4.776,4.776,9.552,4.776,4.776,4.776,4.776,9.552,0,4.776,9.552,1
9400,2,1,2,27,0,0,0,0,0,0,7316.808,7199.952,7210.224,7028.856,7029.24,6763.824,312.168,254.688,240.984,264,252.288,168,1
6500,2,2,1,32,1,2,2,2,2,2,5634.048,5592.864,5502.864,5223.456,5368.56,5313.912,240,192,0,384,192,0,1
1900,2,1,2,23,0,0,0,0,0,0,1848.576,1758.744,1387.344,903.408,1109.64,1130.64,77.088,38.4,22.944,960,43.2,40.8,1
5800,1,1,2,44,0,0,0,0,0,0,5907.24,5554.632,5629.368,4815.432,4665.84,4772.568,288.624,216.24,177.6,192,192,168,1
9100,1,1,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
14400,1,1,1,53,2,2,0,0,0,0,11211.6,11012.688,11272.872,10731.12,10583.568,10433.16,0,432,384,384,504,480,1
1700,1,2,1,48,0,0,0,0,0,-1,1222.248,957.192,768.408,423.12,233.52,153.6,50.4,29.208,12,0,153.6,110.16,1
5500,1,1,1,59,-1,0,0,0,0,0,5003.016,4951.944,4891.512,4831.944,4775.976,4600.104,180.864,174.648,170.4,170.88,164.256,166.68,1
5300,1,1,2,38,0,0,0,0,0,0,5107.08,5065.032,5106.216,5244.984,4025.832,3967.2,213.816,180,216,161.496,144,168.216,1
9400,2,3,2,35,0,0,0,0,0,0,8525.16,8719.8,8956.344,6052.68,6179.904,6312.432,331.248,396.6,213.432,221.496,240,226.44,1
3400,1,2,2,26,0,0,2,2,2,2,3152.808,3508.632,3364.848,3456.84,3370.056,3126.504,408,0,273.6,13.2,127.2,129.6,1
5300,2,2,1,36,-1,-1,-1,0,-1,-1,9.504,39.552,19.008,9.504,9.504,9.504,39.552,19.008,0,9.504,9.504,19.008,1
1900,2,1,1,28,0,0,0,0,0,0,205.776,226.416,240.912,240.96,249.6,251.76,28.872,25.128,5.952,9.792,7.056,6.624,1
3100,2,1,1,33,0,0,0,0,0,0,459.864,493.056,544.896,535.296,535.296,0,48,72,0,0,0,0,1
2900,2,2,2,35,-1,-1,-1,-1,-1,-1,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,5.76,1
1200,1,2,2,23,2,2,2,2,2,2,708.216,737.784,754.512,766.176,781.584,793.944,48,36,31.2,31.2,28.8,36,1
8600,1,1,2,28,-1,-1,-1,0,0,-1,29.04,19.68,1551.456,3023.616,2558.016,3013.368,9.36,1817.28,1500.48,408,3172.8,4008,1
3400,2,2,1,42,0,0,0,0,0,0,2675.904,2691.192,1668.696,1699.296,1698.744,1601.64,144.528,72.504,120.288,122.688,72,120,1
14900,2,2,1,45,2,2,0,0,0,0,3860.088,3764.136,3850.56,3930.744,4011.816,4101.456,0,148.8,144,144,156,144,1
200,1,2,2,46,0,0,2,2,2,0,97.752,153.456,147.432,165.792,159.648,162.84,57.6,0,20.904,0,5.856,6.024,1
2400,2,3,1,50,2,0,0,3,3,2,1292.376,1320.72,1477.776,1499.28,1468.752,1500.576,49.2,180,60,0,60,60,1
700,2,2,1,36,2,3,2,2,0,0,690.672,672.936,678.864,660.792,676.536,691.32,0,24,0,26.4,26.4,36,1
5300,2,1,1,41,1,-2,-2,-2,-2,-2,-1.56,-1.56,-1.56,-1.56,-1.56,-4.8,0,0,0,0,0,0,1
2400,1,3,1,52,0,0,2,2,2,0,111.768,145.632,154.032,162.744,147.456,183.312,36,24,24,0,48,48,1
4600,2,1,2,41,-1,-1,-1,-1,-1,-1,676.896,0,396,0,644.496,13.296,0,396,0,644.496,12,0,1
1200,1,1,1,56,0,0,0,0,0,0,1217.16,1225.752,676.44,692.208,729.576,719.448,60,36,26.4,48,36,24.408,1
2200,2,1,2,24,0,0,0,0,0,0,315.384,348.624,371.568,437.256,545.688,561.288,38.4,36,72,120,24.48,18.336,1
3800,2,2,2,60,-2,-1,-1,0,-1,-1,75.072,123.744,26.136,11.736,76.248,24.216,123.744,26.136,0,76.248,24.216,0,1
7000,1,1,1,53,2,0,0,0,0,0,6710.64,6768.576,6780.192,6831.84,6141.408,5718.384,312,244.8,246.36,211.272,199.2,205.104,1
700,1,2,2,28,1,-1,-1,-2,-2,-2,0,18.72,0,0,0,0,18.72,0,0,0,0,0,1
5300,1,1,1,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
5000,1,3,2,25,-1,-1,2,-1,-1,-1,211.608,567.216,522.624,231.144,37.464,47.76,570.624,0,231.144,37.464,47.76,191.208,1
7200,2,2,1,36,-1,-1,2,0,-1,-1,-11.4,124.584,110.544,55.272,66.432,1568.952,240,0,0,66.432,1568.952,258.72,1
700,1,3,1,59,-1,-1,-1,-1,-1,-1,9.36,9.36,9.36,9.36,9.36,31.68,9.36,9.36,9.36,9.36,31.68,0,1
8600,2,1,2,29,0,0,-2,-2,-2,-1,78.72,0,0,0,0,63.6,0,0,0,0,63.6,0,1
1400,1,3,1,31,2,0,0,-2,-2,-2,848.856,847.68,0,0,0,0,24.648,0,0,0,0,0,1
6700,2,2,1,44,2,2,2,2,2,2,4467.576,4362.696,4612.536,4692.408,4782,4700.976,0,360,192,168,0,360,1
10800,2,1,1,42,1,-2,-2,-1,-1,-2,-4.8,-4.8,0,1008,0,0,0,4.8,1008,0,0,0,1
6700,1,2,1,39,-2,-2,-2,-2,-2,-2,49.968,85.368,134.952,129.6,92.784,84.624,86.328,136.128,130.248,93.24,85.032,84.456,1
4600,2,1,2,28,0,0,0,0,0,0,1126.152,1167.984,1184.328,1209.264,1053.192,825.888,60,48,72,48,48,48,1
2200,1,2,1,40,0,0,0,-1,-1,-1,1028.544,1078.2,0,18.888,34.968,0,74.736,0,18.888,34.968,0,0,1
500,2,1,1,30,2,2,2,0,0,0,138.384,180.264,184.272,175.632,178.992,182.352,48,12,0,12,12,0,1
500,1,2,1,34,0,0,0,0,0,0,308.568,340.392,357.36,375.408,393.288,410.712,36.984,29.952,24,24,24,24,1
2400,2,1,2,28,2,0,0,0,0,0,2308.632,1976.208,1967.208,1972.248,1892.16,1902.264,86.4,91.2,72,72,72.552,72,1
700,1,2,2,25,2,2,7,7,7,6,57.6,57.6,57.6,57.6,57.6,43.2,0,0,0,0,0,0,1
2200,1,3,2,42,2,2,2,2,2,2,1554.288,1515.936,786.936,759.384,701.76,679.344,0,69.6,0,60,0,31.2,1
4600,1,2,2,40,2,2,2,2,2,2,3494.712,3762.36,3825.264,3884.88,3977.4,4078.272,360,158.4,156,156,168,168,1
500,2,3,1,41,-1,-1,-1,0,0,0,18.72,0,17.568,15.408,30.048,15.432,0,17.568,7.2,24,12,24,1
4800,2,2,1,29,2,0,0,0,0,0,3825.552,3766.92,3171.456,2859.264,2933.064,3000.504,147.912,108.72,108,120,120,120,1
200,2,3,2,22,0,0,0,0,-2,-2,194.616,234.672,198.216,0,0,0,48,24.864,0,0,0,0,1
1200,2,2,3,30,1,3,2,0,0,0,1260.36,1234.176,1199.208,480.864,481.824,902.76,0,0,48,24,24,38.4,1
1200,1,1,2,26,-1,0,0,0,0,0,370.752,393.408,434.304,442.2,446.856,457.44,36,48,36,28.8,21.6,24,1
1700,2,2,1,33,0,0,0,0,0,0,1666.032,1654.632,930.792,90.192,30.264,0,57.168,48.6,24,0.6,0,39.624,1
200,1,2,2,22,0,0,0,0,0,0,191.04,231.576,204.432,207.072,223.032,120.792,48,24,12,36,0,60,1
200,1,2,1,45,0,0,0,2,0,0,171.336,201.984,235.56,228.192,234.096,244.608,33.6,40.8,0,9.6,14.4,4.8,1
1400,1,1,2,29,-1,2,-1,-1,2,2,13.104,6.12,11.136,28.152,17.568,24.552,0,12,24,0,13.968,0,1
1900,2,2,2,25,2,0,0,2,0,0,415.92,462.192,561.984,546.432,557.832,569.232,72,114.96,0,19.584,19.992,48,1
7200,2,3,1,34,0,0,0,0,0,0,6739.752,6607.272,6526.848,4641.672,4501.488,4585.656,264,288,172.8,156,148.152,132,1
3600,2,1,2,31,2,-1,-1,-1,-1,-1,9.36,9.36,9.36,115.8,124.848,18.72,9.36,9.36,115.8,124.848,18.72,0,1
1200,2,2,2,25,8,7,6,5,4,3,903.528,890.448,869.712,872.976,845.496,824.76,0,0,24,0,0,72,1
1200,1,2,2,26,0,0,0,0,0,0,1152.864,1122.888,1008.264,459.528,68.28,480.984,50.4,29.448,9.192,48,480,15.576,1
5500,2,2,1,30,2,0,-1,-1,-1,-1,231.264,243.648,43.608,-19.872,147.672,303.912,29.328,44.088,0,188.712,304.2,71.016,1
1200,2,2,2,52,1,2,0,0,0,2,1040.232,1040.64,562.008,527.256,508.296,449.064,31.2,33.6,22.08,40.8,0,21.6,1
1200,2,1,1,32,2,0,0,-1,0,-1,1148.592,1181.352,1022.136,15.336,111.336,55.488,60,72,168,96,57.912,48,1
2400,2,1,2,28,2,2,2,2,2,2,1909.92,1955.832,1986.216,2006.616,2047.8,2090.304,90.96,76.8,74.4,76.8,79.968,78.72,1
5000,2,1,1,42,1,-2,-1,-1,-2,-2,0,0,59.76,0,0,0,0,59.76,0,0,0,0,1
5500,2,2,1,32,0,0,0,0,2,0,2106.336,1764.624,1737.024,1844.88,1805.064,1839.48,63.12,62.736,144,0,72,67.2,1
500,1,2,2,25,4,3,2,0,0,0,494.64,480.12,463.944,463.992,416.712,391.536,0,0,12,17.16,7.824,0,1
500,2,3,2,36,0,0,2,2,2,2,402.096,452.952,476.688,461.88,492.768,478.872,57.6,38.4,0,38.4,5.016,0,1
2900,1,3,1,33,1,2,2,2,2,2,1585.32,1617.72,1641.72,1665.288,1697.448,1733.16,72,64.8,64.8,62.4,67.2,0,1
1700,1,3,1,51,2,2,0,0,0,0,1319.232,1233.216,1193.616,1208.664,1180.44,1133.88,0,50.4,46.8,45.6,53.256,50.4,1
1200,2,2,2,24,1,2,0,0,0,0,1172.664,1153.968,1166.736,640.008,624.864,644.4,48,53.592,25.992,26.4,33.6,72,1
1000,1,1,2,27,0,0,0,0,0,0,265.392,275.304,282.624,303.84,303.84,297.912,48,36,55.92,55.2,24,49.872,1
11300,2,2,1,27,0,0,0,0,-1,0,3659.472,1490.016,1309.224,344.712,2338.56,2177.208,72.024,96.12,48.504,2338.584,120.024,120.024,1
700,2,3,2,53,-1,-1,-1,-1,-1,-1,38.352,59.688,0,115.44,67.104,77.88,59.688,0,115.44,67.104,77.88,175.32,1
12000,1,1,1,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
2600,2,2,2,33,1,-2,-2,-2,-2,-1,0,0,0,0,0,3.6,0,0,0,0,7.2,2.448,1
1200,1,2,3,42,2,0,0,2,0,0,1143.528,1205.568,1212.24,772.248,708.72,714.936,88.8,88.8,0,25.728,36,27.168,1
3600,1,3,1,37,4,4,4,3,2,0,3626.808,3690.888,3607.68,3551.736,3440.52,3435.144,156,0,12.288,0,105.312,101.304,1
1000,2,1,2,29,0,0,2,2,2,2,635.064,706.2,723.48,704.664,813.432,827.688,81.6,36,0,120,31.2,0,1
2400,2,3,1,43,2,2,2,2,2,2,1211.64,1237.968,1251.384,1264.584,1300.776,1276.224,52.8,48,48,60,0,108,1
700,2,3,2,52,2,2,7,7,7,7,58.8,58.8,58.8,58.8,58.8,58.8,0,0,0,0,0,0,1
5000,2,2,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,1,3,2,55,0,0,0,0,0,0,1241.688,650.904,674.472,691.536,702.264,717.072,70.32,34.728,27.792,24.984,25.968,23.856,1
5800,2,2,1,37,-1,-1,-2,-2,-2,-2,5.712,0,0,0,0,0,0,0,0,0,0,0,1
2600,1,1,3,55,1,2,2,2,3,2,2222.64,2274.12,2216.424,2427.36,2382.24,2437.848,108,0,271.2,0,98.4,0,1
4100,2,1,2,28,2,2,2,2,2,2,3164.736,3213.528,3114.264,3326.496,3270.792,3480.288,134.4,0,264,0,264,135.744,1
2200,2,3,3,51,0,0,0,0,2,0,271.56,296.16,320.376,342.624,333.696,340.416,29.088,29.304,27.552,0,12.24,12.6,1
1200,1,1,2,30,2,2,2,-1,2,2,100.488,123.648,88.296,14.304,10.704,64.776,55.2,0,16.8,0,55.2,0,1
2900,1,1,2,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
4300,1,1,2,27,-2,-1,2,2,-2,-2,273.408,352.512,336.96,322.56,322.56,313.92,84,0,0,0,0,0,1
7700,1,1,1,60,-1,-1,-1,-1,0,-1,238.92,83.16,2026.104,21.264,281.784,103.608,83.16,2026.56,21.264,276.792,103.608,1259.184,1
3800,2,2,2,29,2,2,-1,-1,-1,-1,47.736,-0.192,20.784,0,21.408,0,0,20.976,0,21.408,0,14.256,1
700,1,2,2,32,2,0,0,2,2,2,188.424,217.56,278.28,266.688,310.152,301.584,36,72,0,48,0,24,1
4300,2,2,1,32,1,2,2,2,0,0,373.152,360.216,426.048,412.128,449.568,561.336,0,72,0,48,120,48,1
1900,2,2,2,24,2,2,5,5,4,3,28.8,28.8,28.8,28.8,14.4,7.2,0,0,0,0,0,0,1
700,1,1,1,27,-1,0,0,0,0,-2,309.528,323.616,159.72,158.832,0,0,48.264,53.064,50.424,3.552,0,0,1
4800,2,1,1,34,-1,0,0,-1,0,-1,148.944,161.352,181.08,8.688,4.344,11.712,26.88,24.576,8.688,0,11.712,7.2,1
