age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
37,technician,single,secondary,no,1435,no,no,cellular,18,724,16,-1,0,unknown,yes
37,technician,married,tertiary,no,88,no,no,cellular,6,195,1,90,3,other,yes
33,services,married,secondary,no,478,no,no,cellular,30,475,2,-1,0,unknown,yes
42,management,married,tertiary,no,-556,yes,yes,cellular,8,682,3,347,3,failure,yes
35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,191,1,346,2,failure,yes
30,admin.,single,secondary,no,270,no,no,cellular,30,437,1,80,1,success,yes
29,management,married,tertiary,no,1441,yes,no,cellular,4,80,2,-1,0,unknown,yes
43,unemployed,married,tertiary,no,0,no,no,cellular,18,464,1,94,2,success,yes
51,retired,married,primary,no,1495,no,no,telephone,25,1946,4,-1,0,unknown,yes
45,unemployed,married,secondary,no,2040,no,no,telephone,2,803,1,-1,0,unknown,yes
52,blue-collar,married,secondary,no,2087,yes,no,cellular,31,267,1,474,1,failure,yes
30,admin.,married,secondary,no,1265,yes,yes,unknown,26,414,2,-1,0,unknown,yes
47,retired,single,primary,no,3033,no,no,cellular,8,293,1,-1,0,unknown,yes
36,self-employed,married,secondary,no,1184,yes,no,cellular,6,1063,1,-1,0,unknown,yes
32,technician,single,tertiary,no,2340,no,no,cellular,18,89,2,-1,0,unknown,yes
22,student,single,secondary,no,216,no,no,cellular,8,363,1,187,1,success,yes
28,admin.,single,secondary,no,154,yes,no,cellular,15,536,1,364,1,other,yes
36,blue-collar,married,secondary,no,1193,no,no,cellular,30,640,1,-1,0,unknown,yes
30,admin.,married,secondary,no,8781,yes,no,cellular,18,898,1,-1,0,unknown,yes
58,admin.,married,secondary,no,169,no,no,cellular,13,336,3,87,5,success,yes
60,admin.,divorced,secondary,no,-41,yes,yes,cellular,6,1658,1,262,1,failure,yes
43,management,divorced,tertiary,no,388,yes,no,unknown,8,2087,2,-1,0,unknown,yes
18,student,single,unknown,no,108,no,no,cellular,10,167,1,-1,0,unknown,yes
52,management,married,tertiary,no,193,no,no,cellular,30,381,1,269,1,failure,yes
31,management,divorced,tertiary,no,1145,yes,no,unknown,26,1272,4,-1,0,unknown,yes
44,admin.,single,secondary,no,1534,no,no,cellular,10,95,1,95,3,success,yes
59,retired,married,primary,no,3648,no,no,telephone,19,1321,3,-1,0,unknown,yes
27,management,single,secondary,no,843,no,no,cellular,8,187,1,-1,0,unknown,yes
59,self-employed,married,tertiary,no,2013,no,no,cellular,19,222,4,94,2,success,yes
46,technician,married,secondary,no,9299,no,no,cellular,19,1148,1,276,2,other,yes
34,blue-collar,married,secondary,no,1089,yes,no,cellular,13,394,3,-1,0,unknown,yes
28,admin.,single,unknown,no,2736,no,no,cellular,8,705,1,-1,0,unknown,yes
22,student,single,secondary,no,381,no,no,cellular,12,227,1,-1,0,unknown,yes
36,management,married,tertiary,no,93,no,no,cellular,12,262,2,182,7,failure,yes
63,management,married,unknown,no,2352,no,no,telephone,4,475,7,-1,0,unknown,yes
67,retired,married,secondary,no,2048,no,no,cellular,16,452,5,195,4,other,yes
34,unemployed,married,primary,no,309,no,no,cellular,5,578,1,-1,0,unknown,yes
26,services,single,secondary,no,901,yes,no,unknown,26,764,2,-1,0,unknown,yes
33,entrepreneur,single,tertiary,no,1623,yes,no,cellular,2,291,3,-1,0,unknown,yes
33,admin.,divorced,tertiary,no,891,no,no,cellular,8,398,2,-1,0,unknown,yes
46,management,divorced,tertiary,no,-130,yes,no,cellular,24,144,2,-1,0,unknown,yes
47,services,single,unknown,no,1784,no,no,cellular,19,385,2,-1,0,unknown,yes
41,management,married,tertiary,no,0,no,no,cellular,17,294,4,63,11,other,yes
24,blue-collar,single,secondary,no,167,no,yes,cellular,25,288,1,96,2,success,yes
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,1084,1,-1,0,unknown,yes
47,admin.,married,secondary,no,3676,no,no,cellular,18,567,1,95,3,success,yes
59,retired,single,secondary,no,351,yes,no,unknown,27,1063,5,-1,0,unknown,yes
51,management,single,tertiary,no,151,yes,no,cellular,8,638,1,427,3,success,yes
36,admin.,married,unknown,no,991,no,no,cellular,14,589,2,-1,0,unknown,yes
24,student,single,secondary,no,4126,no,no,cellular,5,907,4,185,7,failure,yes
30,admin.,divorced,secondary,no,377,yes,no,unknown,4,524,15,-1,0,unknown,yes
31,unemployed,married,tertiary,no,330,no,no,cellular,13,260,1,194,2,success,yes
19,student,single,secondary,no,329,no,no,cellular,22,252,2,-1,0,unknown,yes
56,retired,married,tertiary,no,281,no,no,cellular,3,96,2,-1,0,unknown,yes
37,management,married,tertiary,no,4436,no,no,cellular,13,846,5,-1,0,unknown,yes
49,management,divorced,tertiary,no,755,no,no,cellular,31,1212,4,-1,0,unknown,yes
30,admin.,single,secondary,no,270,no,no,cellular,30,437,1,80,1,success,yes
51,services,divorced,secondary,no,65,no,yes,cellular,15,881,1,-1,0,unknown,yes
50,blue-collar,married,primary,no,4979,no,no,telephone,6,180,1,-1,0,unknown,yes
74,retired,married,tertiary,no,1843,no,no,cellular,15,251,2,184,3,success,yes
43,entrepreneur,married,secondary,no,104,yes,no,cellular,18,635,3,-1,0,unknown,yes
38,services,married,secondary,no,2678,no,no,cellular,28,282,2,187,1,success,yes
37,technician,married,secondary,no,1762,no,no,cellular,16,334,2,-1,0,unknown,yes
39,housemaid,married,secondary,no,1444,no,no,telephone,25,362,8,-1,0,unknown,yes
27,technician,single,tertiary,no,372,yes,yes,cellular,25,728,2,-1,0,unknown,yes
50,admin.,divorced,secondary,no,237,no,yes,telephone,5,169,1,-1,0,unknown,yes
31,blue-collar,divorced,secondary,no,0,yes,yes,cellular,18,913,4,-1,0,unknown,yes
46,admin.,single,secondary,no,849,yes,no,unknown,5,508,2,-1,0,unknown,yes
81,retired,married,primary,no,5220,no,no,telephone,13,135,1,94,2,other,yes
26,admin.,single,tertiary,no,2532,yes,yes,cellular,18,269,1,-1,0,unknown,yes
45,blue-collar,single,secondary,no,0,yes,no,cellular,26,1472,1,192,4,failure,yes
65,retired,married,tertiary,no,1973,no,no,telephone,21,396,3,-1,0,unknown,yes
45,management,married,tertiary,no,226,yes,no,cellular,15,91,4,185,6,success,yes
60,management,divorced,tertiary,no,366,no,no,cellular,3,593,1,-1,0,unknown,yes
21,student,single,secondary,no,2488,no,no,cellular,30,258,6,169,3,success,yes
29,management,single,tertiary,no,1445,no,no,cellular,26,328,2,143,2,success,yes
28,technician,single,secondary,no,2335,no,no,cellular,13,624,1,-1,0,unknown,yes
51,blue-collar,married,primary,no,129,yes,no,cellular,15,611,2,-1,0,unknown,yes
31,blue-collar,married,primary,no,33,yes,no,cellular,24,901,2,-1,0,unknown,yes
35,admin.,single,secondary,no,0,yes,no,cellular,13,1073,1,-1,0,unknown,yes
32,management,married,tertiary,no,1270,no,no,cellular,19,232,3,-1,0,unknown,yes
81,retired,married,primary,no,243,no,no,cellular,27,131,1,-1,0,unknown,yes
52,entrepreneur,married,secondary,no,1306,no,no,cellular,15,288,1,-1,0,unknown,yes
29,unemployed,single,tertiary,no,1311,no,no,cellular,28,622,1,-1,0,unknown,yes
24,management,married,unknown,no,448,no,no,cellular,14,324,1,-1,0,unknown,yes
29,blue-collar,single,secondary,no,260,yes,no,unknown,2,707,14,-1,0,unknown,yes
55,technician,married,secondary,no,264,yes,yes,cellular,31,1150,5,-1,0,unknown,yes
25,technician,single,secondary,no,0,no,yes,cellular,8,634,1,-1,0,unknown,yes
35,management,married,tertiary,no,2161,no,no,cellular,9,569,3,-1,0,unknown,yes
42,management,married,tertiary,no,3713,no,no,cellular,19,709,2,-1,0,unknown,yes
45,management,married,tertiary,no,212,no,no,cellular,21,65,2,-1,0,unknown,yes
55,blue-collar,divorced,primary,no,8180,no,no,cellular,14,854,2,360,1,failure,yes
42,services,single,secondary,no,3403,yes,no,cellular,7,215,1,99,1,failure,yes
37,blue-collar,married,primary,no,2120,yes,no,cellular,15,655,3,175,4,failure,yes
27,management,single,primary,yes,13,no,no,cellular,30,475,3,-1,0,unknown,yes
59,admin.,single,secondary,no,4744,no,no,cellular,4,879,1,-1,0,unknown,yes
25,student,single,secondary,no,125,no,no,cellular,9,215,1,92,2,success,yes
35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,191,1,346,2,failure,yes
74,retired,married,secondary,no,9480,no,no,cellular,21,211,1,-1,0,unknown,yes
31,admin.,divorced,secondary,no,217,yes,no,cellular,30,1776,2,-1,0,unknown,yes
60,admin.,married,unknown,no,478,no,no,cellular,19,173,2,311,8,failure,yes
26,technician,married,secondary,no,915,no,no,cellular,2,384,1,-1,0,unknown,yes
31,self-employed,married,tertiary,no,168,no,no,cellular,4,193,2,-1,0,unknown,yes
32,admin.,single,secondary,no,131,yes,no,cellular,22,522,1,183,2,success,yes
60,management,single,tertiary,no,1034,yes,no,cellular,7,231,3,-1,0,unknown,yes
27,services,single,secondary,no,1820,yes,no,cellular,17,1027,1,-1,0,unknown,yes
26,student,single,tertiary,no,39,no,no,cellular,26,396,3,-1,0,unknown,yes
68,retired,married,tertiary,no,2812,no,no,cellular,4,651,1,1,7,success,yes
37,technician,single,secondary,no,1435,no,no,cellular,18,724,16,-1,0,unknown,yes
31,student,single,secondary,no,3511,no,no,cellular,2,667,1,-1,0,unknown,yes
90,retired,divorced,primary,no,712,no,no,telephone,3,557,1,-1,0,unknown,yes
33,management,single,tertiary,no,0,no,no,cellular,11,699,7,-1,0,unknown,yes
54,technician,divorced,secondary,no,2156,yes,no,cellular,3,261,1,195,4,failure,yes
47,admin.,married,secondary,no,368,no,no,cellular,23,269,1,187,5,success,yes
36,management,married,tertiary,no,1352,no,no,unknown,19,2028,1,-1,0,unknown,yes
28,management,single,tertiary,yes,1414,yes,no,cellular,8,294,1,521,1,failure,yes
72,retired,married,primary,no,1612,no,no,cellular,7,530,2,-1,0,unknown,yes
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,560,9,-1,0,unknown,yes
34,self-employed,married,tertiary,no,0,no,no,cellular,28,730,11,-1,0,unknown,yes
52,unknown,married,unknown,no,5361,no,no,cellular,5,607,3,-1,0,unknown,yes
36,management,single,tertiary,no,2944,no,no,cellular,18,882,8,-1,0,unknown,yes
35,services,single,secondary,no,719,yes,no,cellular,18,1359,3,368,3,failure,yes
39,technician,married,tertiary,no,1524,no,no,cellular,20,567,1,-1,0,unknown,yes
33,management,single,tertiary,no,3552,no,no,cellular,13,158,2,85,3,failure,yes
21,student,single,primary,no,8278,no,no,cellular,29,445,1,-1,0,unknown,yes
37,management,single,tertiary,no,1027,yes,no,cellular,2,313,1,152,2,success,yes
27,management,single,tertiary,no,2648,no,no,cellular,5,917,1,-1,0,unknown,yes
54,unknown,married,secondary,no,2206,no,no,cellular,13,260,1,91,4,success,yes
49,entrepreneur,married,secondary,no,687,yes,no,cellular,17,772,1,-1,0,unknown,yes
48,blue-collar,married,primary,no,719,no,yes,cellular,11,418,5,-1,0,unknown,yes
37,management,divorced,tertiary,no,1775,no,no,cellular,15,514,5,-1,0,unknown,yes
56,technician,married,secondary,no,589,yes,no,unknown,23,518,1,147,2,success,yes
34,admin.,married,secondary,no,869,no,no,unknown,6,1677,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,1348,yes,no,cellular,6,221,2,-1,0,unknown,yes
68,retired,divorced,secondary,no,4189,no,no,telephone,14,897,2,-1,0,unknown,yes
48,admin.,married,secondary,no,368,no,no,cellular,8,363,2,140,7,success,yes
27,student,single,secondary,no,67,no,no,telephone,14,239,1,-1,0,unknown,yes
38,management,married,tertiary,yes,327,yes,yes,cellular,9,556,5,-1,0,unknown,yes
35,admin.,single,secondary,no,321,no,no,cellular,21,143,1,412,3,other,yes
26,technician,single,tertiary,no,-67,yes,no,cellular,15,637,1,-1,0,unknown,yes
55,management,divorced,tertiary,no,2383,no,no,cellular,5,1019,2,63,2,success,yes
44,management,divorced,tertiary,no,5773,no,no,unknown,23,597,6,-1,0,unknown,yes
33,management,single,tertiary,no,224,no,no,cellular,23,409,2,92,4,success,yes
59,services,single,secondary,no,739,no,no,cellular,14,408,1,-1,0,unknown,yes
73,retired,divorced,primary,no,5028,no,no,cellular,4,696,10,-1,0,unknown,yes
44,blue-collar,single,secondary,no,0,no,no,cellular,20,133,1,-1,0,unknown,yes
27,services,single,secondary,no,353,yes,no,cellular,15,663,1,-1,0,unknown,yes
95,retired,divorced,primary,no,2282,no,no,telephone,21,207,17,-1,0,unknown,yes
53,admin.,married,secondary,no,459,no,no,cellular,5,558,1,-1,0,unknown,yes
36,self-employed,married,secondary,no,188,yes,yes,cellular,4,1046,3,333,2,success,yes
35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,736,2,-1,0,unknown,yes
33,management,married,tertiary,no,1514,no,no,cellular,10,447,1,728,2,failure,yes
42,management,single,tertiary,no,7560,no,no,cellular,28,132,1,-1,0,unknown,yes
38,entrepreneur,divorced,secondary,no,1190,yes,no,cellular,4,81,2,391,3,failure,yes
75,retired,married,tertiary,no,2991,no,no,cellular,22,240,1,-1,0,unknown,yes
27,admin.,married,secondary,no,897,no,no,cellular,5,397,1,-1,0,unknown,yes
27,technician,single,tertiary,no,2781,yes,no,cellular,24,168,1,389,1,failure,yes
54,technician,single,tertiary,no,467,yes,no,cellular,18,674,3,-1,0,unknown,yes
39,management,single,tertiary,no,5047,no,no,cellular,29,218,4,-1,0,unknown,yes
24,technician,single,secondary,no,409,yes,no,unknown,16,912,1,-1,0,unknown,yes
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,942,3,-1,0,unknown,yes
47,technician,married,secondary,no,293,no,no,cellular,1,251,1,90,1,success,yes
49,management,single,tertiary,no,151,yes,no,cellular,8,97,3,-1,0,unknown,yes
28,admin.,single,secondary,no,352,yes,yes,cellular,18,431,1,-1,0,unknown,yes
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,927,1,-1,0,unknown,yes
45,blue-collar,single,secondary,no,0,yes,no,cellular,26,1472,1,192,4,failure,yes
27,admin.,single,secondary,no,4590,yes,no,cellular,10,131,4,89,3,failure,yes
24,management,single,tertiary,no,1506,no,no,cellular,12,239,2,95,4,success,yes
39,blue-collar,married,secondary,no,785,yes,no,cellular,11,1232,2,-1,0,unknown,yes
57,admin.,single,secondary,no,5768,yes,no,unknown,19,512,1,-1,0,unknown,yes
32,management,married,tertiary,no,2667,yes,no,cellular,4,251,1,181,4,failure,yes
46,blue-collar,married,secondary,no,922,yes,no,telephone,8,576,1,-1,0,unknown,yes
32,technician,married,tertiary,no,636,yes,no,cellular,28,370,1,116,4,success,yes
26,technician,single,secondary,no,507,no,no,cellular,30,380,1,-1,0,unknown,yes
42,management,married,tertiary,no,254,no,no,cellular,9,288,7,183,4,success,yes
48,management,married,secondary,no,268,yes,no,cellular,28,458,7,-1,0,unknown,yes
35,self-employed,married,tertiary,no,2427,no,no,cellular,12,210,3,158,7,other,yes
44,services,divorced,secondary,no,-368,yes,no,cellular,5,895,1,-1,0,unknown,yes
43,management,divorced,tertiary,no,2367,no,no,cellular,22,173,2,181,4,success,yes
38,admin.,married,secondary,no,0,yes,no,cellular,8,210,1,92,3,success,yes
82,retired,divorced,tertiary,no,0,no,no,telephone,12,226,1,-1,0,unknown,yes
27,student,single,secondary,no,6036,no,no,cellular,31,175,1,181,1,failure,yes
39,admin.,married,secondary,no,130,yes,yes,cellular,4,1290,2,-1,0,unknown,yes
47,services,single,unknown,no,1784,no,no,cellular,19,385,2,-1,0,unknown,yes
30,blue-collar,single,primary,no,253,yes,no,cellular,5,259,1,-1,0,unknown,yes
26,self-employed,single,secondary,no,551,no,no,cellular,8,531,1,-1,0,unknown,yes
47,self-employed,married,secondary,no,4420,yes,yes,cellular,20,454,1,-1,0,unknown,yes
45,blue-collar,married,unknown,no,1529,yes,no,cellular,13,181,1,197,1,success,yes
33,technician,married,secondary,no,4,yes,yes,unknown,18,625,2,-1,0,unknown,yes
39,admin.,married,secondary,no,607,yes,no,cellular,12,454,2,364,3,failure,yes
29,management,single,tertiary,no,92,no,no,cellular,2,175,5,-1,0,unknown,yes
25,blue-collar,single,secondary,no,1857,yes,no,cellular,12,187,1,91,12,success,yes
26,services,single,tertiary,no,1140,yes,no,cellular,6,984,2,-1,0,unknown,yes
24,self-employed,single,tertiary,no,2376,no,no,cellular,27,122,1,-1,0,unknown,yes
32,technician,single,tertiary,no,1246,yes,no,cellular,30,509,1,85,2,success,yes
51,unemployed,married,primary,no,1162,yes,no,cellular,25,2015,1,-1,0,unknown,yes
29,admin.,single,secondary,no,265,yes,no,cellular,25,414,1,184,1,failure,yes
21,student,single,secondary,no,123,no,no,telephone,12,449,1,-1,0,unknown,yes
34,retired,married,primary,no,4499,no,no,unknown,21,1681,1,-1,0,unknown,yes
72,retired,married,secondary,no,5715,no,no,cellular,17,1127,5,184,3,success,yes
49,management,married,tertiary,no,1050,yes,no,cellular,18,924,1,-1,0,unknown,yes
67,retired,divorced,secondary,no,704,no,no,cellular,3,537,1,-1,0,unknown,yes
28,management,single,tertiary,no,9314,no,no,cellular,2,276,2,-1,0,unknown,yes
38,technician,divorced,secondary,no,902,yes,no,cellular,4,301,3,90,1,success,yes
39,management,single,tertiary,no,5073,yes,no,cellular,12,1182,1,286,4,failure,yes
60,management,married,tertiary,no,0,no,no,cellular,7,401,3,-1,0,unknown,yes
32,management,married,tertiary,no,6138,no,no,cellular,29,519,2,90,9,failure,yes
62,management,married,tertiary,no,2785,no,no,cellular,6,270,3,-1,0,unknown,yes
64,housemaid,married,unknown,no,2645,no,no,telephone,3,219,2,-1,0,unknown,yes
35,admin.,single,secondary,no,507,yes,no,cellular,22,560,2,-1,0,unknown,yes
22,student,single,secondary,no,185,no,no,cellular,8,153,1,-1,0,unknown,yes
42,admin.,divorced,secondary,no,2129,no,no,cellular,13,633,1,182,2,other,yes
